[2023-02-09 17:19:28,320] root - INFO - Training Pipeline Config: TrainingPipelineConfig(artifact_dir='D:\\Project\\class project\\Rental_Bike_Share_Prediction-final\\Rental_Bike_Share_Prediction-main\\rental_bike_demand\\artifact')
[2023-02-09 17:19:29,903] root - INFO - Training Pipeline Config: TrainingPipelineConfig(artifact_dir='D:\\Project\\class project\\Rental_Bike_Share_Prediction-final\\Rental_Bike_Share_Prediction-main\\rental_bike_demand\\artifact')
[2023-02-09 17:19:29,919] werkzeug - WARNING -  * Debugger is active!
[2023-02-09 17:19:29,919] werkzeug - INFO -  * Debugger PIN: 294-818-109
[2023-02-09 17:19:29,982] werkzeug - INFO -  * Running on http://0.0.0.0:5003/ (Press CTRL+C to quit)
[2023-02-09 17:19:37,002] werkzeug - INFO - 127.0.0.1 - - [09/Feb/2023 17:19:37] "[37mGET / HTTP/1.1[0m" 200 -
[2023-02-09 17:19:37,003] werkzeug - INFO -  * Detected change in 'C:\\Application\\anaconda\\envs\\bigmart\\Lib\\encodings\\__pycache__\\unicode_escape.cpython-36.pyc', reloading
[2023-02-09 17:19:37,241] werkzeug - INFO - 127.0.0.1 - - [09/Feb/2023 17:19:37] "[37mGET /static/img/index.png HTTP/1.1[0m" 200 -
[2023-02-09 17:19:37,554] werkzeug - INFO - 127.0.0.1 - - [09/Feb/2023 17:19:37] "[37mGET /static/img/git.png HTTP/1.1[0m" 200 -
[2023-02-09 17:19:37,557] werkzeug - INFO - 127.0.0.1 - - [09/Feb/2023 17:19:37] "[37mGET /static/img/linkied.png HTTP/1.1[0m" 200 -
[2023-02-09 17:19:37,889] werkzeug - INFO - 127.0.0.1 - - [09/Feb/2023 17:19:37] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
